University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Florida State University (FSU),Computer Science,"$16,300",0.70,2020-2021,2nd,"$19,000",,,"$2,700","TA pay rate  is roughly $23 per hour. $900+ student fee for each semester. The health insurance is getting more expensive every year. In 2021 Fall, you need to pay about $900 by yourself for the insurance. "
NYU,MCC,"$32,000",,2020-2021,,,"$32,000",,,
Virginia Tech,Nuclear Engineering,"$27,352",1.30,2021-2022,2nd,"$28,452",,,"$1,100",
University at Buffalo - SUNY,linguistics,"$20,000",0.95,2020-2021,2nd,,"$20,000",,,"stipends raised to 20k, fees are now waived"
Syracuse University,Math,"$21,746",1.02,2021-2022,2nd,,"$21,746",,,
North Carolina State University (NCSU),Psychology,"$16,060",0.76,2014-2015,1st,"$18,667",,,"$2,607",Annualized rate. Actual salary was $7000 per semester (fall/spring).
University of Pittsburgh,Katz Business School,"$23,730",1.15,2020-2021,2nd,"$24,090",,,$360,
University at Buffalo - SUNY,computer engineering,"$-5,000",-0.24,2021-2022,2nd,"$5,000",,,"$10,000",
Massachusetts Institute of Technology (MIT),Mechanical Engineering,"$11,000",0.39,2022-2023,6th and up,"$53,000",,,"$42,000",
University of Massachusetts - Dartmouth (UMD),Chemistry/ Biochemistry,"$3,000",0.13,2020-2021,1st,,"$16,000",,"$13,000",
Northwestern University (NU),,"$34,176",1.41,2020-2021,1st,"$34,176",,,,
Stanford University (SU),Material science ,"$49,640",1.73,2020-2021,1st,"$49,640",,,,
Columbia University (CU),Biology,"$40,000",1.35,2018-2019,3rd,"$40,000",,,,Estimate. 
University of Tennessee - Knoxville,English,"$18,300",0.86,2020-2021,6th and up,,"$19,000",,$700,
mcgill university,science/chemistry,"$20,000",,2016-2017,1st,"$23,000",,,"$3,000",
Stanford University (SU),Chemical engineering ,"$48,000",1.67,2021-2022,,"$48,000",,,,
University of California - Berkeley,French,"$31,500",1.13,2020-2021,2nd,,"$31,500",,,
Oklahoma State University (OSU),Counseling Psychology,"$9,554",0.49,2020-2021,3rd,,"$11,655",,"$2,101","These stipends are not paid on 9 or 12 month basis, but vary per semester based on GA assignment. $1295 is the monthly salary for a .25FTE, which qualifies the student for a tuition waiver. The listed required fees are for one semester (Fall 2020). "
Georgia Institute of Technology (Georgia Tech),Aerospace ,"$22,500",0.97,2020-2021,4th,"$26,000",,,"$3,500",
,Sociology,"$23,250",,2021-2022,1st,,"$18,000","$9,000","$3,750",
University of Massachusetts - Boston (UMB),Sociology,"$23,250",0.81,2021-2022,1st,,"$18,000","$9,000","$3,750",
University of Iowa (UI),Immunology,"$31,000",1.40,2021-2022,1st,"$31,000",,,,
Indiana University,The media school ,"$19,550",0.91,2021-2022,1st,"$20,050",,,$500,
Purdue University - West Lafayette,Biochemistry,"$25,500",1.21,2020-2021,4th,"$26,000",,,$500,
Case Western Reserve University,Molecular Medicine ,"$32,000",1.60,2020-2021,2nd,"$32,000",,,,
University of Massachusetts - Amherst (UMass),Electrical and Computer Engineering,"$28,686",1.25,2021-2022,6th and up,"$29,116",,,$430,
University of Hawaii - Manoa (UH),CMB,"$17,550",0.58,2020-2021,2nd,,"$18,000",,$450,TA from Bio dept
Louisiana State University - Baton Rouge,Kinesiology ,"$13,900",0.64,2021-2022,1st,,"$15,000",,"$1,100",I pay $2700/yr for health insurance.  $3400 in additional scholarship.  Stipend paid for TA.  I'm the instructor of record for 2 UG courses  
New York University (NYU),Politics,"$25,000",0.84,2019-2020,5th,,"$21,000","$4,000",,
Pennsylvania State University (Penn State),Anthropology,"$34,405",1.53,2020-2021,5th,,"$29,500","$5,000",$95,
University of Tennessee - Knoxville,"Retail, Hospitality, and Tourism Management","$12,150",0.57,2020-2021,1st,"$12,300",,,$150,
Bard Graduate Center,"Material culture, design history, archaeology","$42,000",,2021-2022,3rd,"$42,000",,,,35 k + 7k fellowship
Ohio State University (OSU),Stem,"$30,780",1.53,2020-2021,1st,"$30,780",,,,
Wayne State University,Chemistry,"$26,500",1.27,2020-2021,5th,,"$21,500","$5,000",,Paid less in the summer than in the 9-month school year. Make sure you save up before summer hits. Hardly enough with current rent rates - make sure you have a roommate.
Wayne State University,Chemistry,"$1,820",0.09,2021-2022,5th,,"$1,070",$750,,The numbers submitted are biweekly paycheck gross amounts.
University of California - Riverside (UCR),Philosophy,"$22,500",0.93,2020-2021,3rd,,"$22,500",,,
Georgia Institute of Technology (Georgia Tech),Physics,"$23,500",1.01,2021-2022,5th,"$27,500",,,"$4,000",
,Philosophy,"$2,507",,2020-2021,3rd,,"$2,507",,,
University of California - Riverside (UCR),Philosophy,"$2,507",0.10,2020-2021,3rd,,"$2,507",,,
University of Washington (UW),Mechanical Engineering,"$31,800",1.37,2021-2022,1st,"$31,800",,,,Stipend for ME students with a MSME entering the Doctorate program. Required to pay student fees.
University of California - Berkeley,Chemistry,"$36,000",1.30,2021-2022,1st,"$36,000",,,,
University of California - Berkeley,Education,"$49,000",1.76,2020-2021,1st,,"$49,000",,,"All fees and tuition were covered.  
Breakdown:
Stipend :20,000
Departmental Fellowship: 10,000
TA-Pay (25% one class): 10,000
Research-Pay (10hr/week) Pay: 9000"
Boston University (BU),Systems Engineering,"$36,782",1.28,2021-2022,1st,"$36,782",,,,
Ottawa University,Biology,"$20,500",,2020-2021,3rd,"$20,500",,,,
University of Central Florida (UCF),Mechanical Engineering,"$23,500",1.02,2020-2021,1st,"$25,000",,,"$1,500",
Georgia Institute of Technology (Georgia Tech),Chemical and Biomolecular Engineering,"$2,500",0.11,2021-2022,3rd,"$32,500",,,"$30,000",
Brown University,Comparative Literature,"$37,010",1.63,2020-2021,1st,"$37,260",,,$250,
Duke University (DU),history,"$32,550",1.46,2021-2022,1st,,"$24,300","$8,250",,
Michigan Technological University (MTU),Biology ,"$25,487",1.25,2022-2023,1st,"$25,637",,,$150,
University of Michigan - Ann Arbor (UM),Biomedical Engineering,"$27,900",1.41,2014-2015,1st,"$77,000",,,"$49,100",required fees included health insurance
Rutgers the State University of New Jersey - New Brunswick,Planning and Policy,"$25,000",0.97,2020-2021,1st,,"$25,000",,,"I'm actually on a ten-month stipend, so I am paid mid-September through late June. "
Syracuse University,Psychology,"$22,750",1.07,2021-2022,1st,,"$22,750",,,
Arizona State University (ASU),School of Molecular Sciences,"$25,000",1.13,2020-2021,3rd,"$25,500",,,$500,
Arizona State University (ASU),School of Molecular Sciences,"$24,800",1.12,2020-2021,4th,"$25,000",,,$200,
,Pathobiological science/ PhD,"$23,040",,2020-2021,,"$24,123",,,"$1,083",
Louisiana State University - Baton Rouge,Pathobiological science/ PhD,"$23,040",1.06,2020-2021,,"$24,123",,,"$1,083",
University of Kentucky (UK),clinical psychology,"$19,800",0.97,2021-2022,1st,,"$17,000","$3,000",$200,
University of Pittsburgh,Biomedical informatics ,"$32,000",1.55,2020-2021,1st,"$32,000",,,,
University of Michigan - Ann Arbor (UM),Architecture,"$22,284",0.97,2021-2022,1st,,"$22,434",,$150,
University of Missouri (MU),History,"$18,230",0.89,2021-2022,,"$19,030",,,$800,
University of Illinois - Chicago (UIC),Anthropology,"$19,615",0.81,2021-2022,3rd,,"$20,615",,"$1,000",
University of Illinois - Chicago (UIC),Anthropology,"$19,615",0.81,2021-2022,3rd,,"$20,615",,"$1,000",
University of California - Berkeley,History,"$30,000",1.08,2020-2021,1st,"$30,000",,,,
Texas A&amp;M; University - College Station,Mechanical Engineering,"$4,250",,2021-2022,1st,,"$2,250","$2,250",$250,
New York University (NYU),Stern School of Business,"$39,725",1.34,2020-2021,1st,"$40,000",,,$275,"Increase applied to all students, not just new cohorts"
University of North Carolina - Chapel Hill (UNC),Sociology,"$24,000",1.08,2021-2022,1st,,"$20,000","$4,000",,"Summer funding ($4000, included in total) is only guaranteed for the first year. Also received a fellowship of $1250 for each of the first two years (not included in total)."
University of North Carolina - Chapel Hill (UNC),Sociology,"$24,000",1.08,2021-2022,1st,,"$20,000","$4,000",,Summer funding is only guaranteed for the first year. Also received a fellowship of $1250 for each of the first two years.
Old Dominion University (ODU),Psychology,"$20,000",0.75,2021-2022,1st,,"$18,000","$2,000",,Tuition and fee waiver given + stipend
Vanderbilt University,Cell and Developmental Biology,"$32,290",1.41,2020-2021,5th,"$33,000",,,$710,
University of Illinois - Chicago (UIC),applied health sciences,"$11,000",0.45,2020-2021,1st,"$11,000",,,,
,,"$22,000",,2021-2022,,,"$22,000",,,
Brigham Young University (BYU),Chemical Engineering,"$24,000",1.16,2016-2017,3rd,"$24,000",,,,
University of Massachusetts Medical School,Graduate Program in Biomedical Sciences,"$34,000",,2021-2022,1st,"$34,000",,,,Health and dental at no cost. 13 paid federal holidays plus 20 personal paid days off a year.
University of Nevada - Reno (UNR),ABA,"$30,000",1.43,2022-2023,1st,"$30,000",,,,
Texas Tech University (TTU),Animal and Food Sciences,"$16,000",0.79,2020-2021,3rd,"$18,000",,,"$2,000",My fees have ranged anywhere between $2500-2000/year. We also have to provide our own insurance (can be purchased through the school).
University of Maryland - College Park (UMD),DOIT/Opeartions Management,"$32,765",1.08,2021-2022,1st,,"$26,650","$8,000","$1,885","Annual Required Fees = [817.5 (10 credits Graduate Student Fees
)+125 (International Student Fee)]*2

$2,000 increase in stipend after advancing to candidacy.
"
,Ecology and Evolution,"$34,000",,2021-2022,,"$34,000",,,,
University of Chicago,Ecology and Evolution,"$2,400",,2021-2022,,"$2,400",,,,
Rutgers the State University of New Jersey - New Brunswick,Earth and Planetary Sciences,"$30,000",1.16,2021-2022,1st,,"$30,000",,,
University of Florida (UF),Sustainable land management ,$-500,-0.02,2022-2023,,"$1,000",,,"$1,500",
Drexel University (DU),M.S in Information Human Computer Interaction  & User Experience Major,,0.00,2020-2021,1st,,,,,
Florida International University (FIU),,"$20,154",0.85,2020-2021,1st,"$20,154",,,,
Massachusetts Institute of Technology (MIT),Chemical Engineering,"$44,632",1.60,2021-2022,1st,"$45,000",,,$368,Fellowship for first 9 months. Extended insurance paid. Laptop provided. Required student activity fee ($368) and optional dental insurance ($544.56).
INSEAD,Management,"$38,000",,2022-2023,1st,"$38,000",,,,+ summer support of around 5000
North Carolina State University (NCSU),Geospatial Analytics,"$23,800",1.04,2021-2022,1st,"$25,000",,,"$1,200",
West Virginia University (WVU),industrial management and systems engineering,"$16,900",0.76,2021-2022,1st,,"$16,900",,,
Montana State University (MSU),industrial management and systems engineering,"$15,700",0.75,2021-2022,1st,,"$16,900",,"$1,200",
Medical College of Wisconsin,Biomedical Engineering,"$31,683",1.48,2021-2022,2nd,"$31,683",,,,
University of California - Los Angeles (UCLA),Bioscience,"$34,000",1.31,2021-2022,1st,"$34,000",,,,
University of California - Los Angeles (UCLA),Chemistry,"$34,000",1.31,2020-2021,1st,"$34,000",,,,
University of Utah,Computer Science PhD,"$31,400",1.41,2021-2022,2nd,"$31,400",,,,"First year only $2k/ month, but second year gets increased significantly. Also receive 80% insurance + all tuition & fees. Most CS research assistants receive this amount. SCI pays higher. "
Northwestern University (NU),Education,"$33,000",1.36,2020-2021,2nd,"$33,000",,,,
University of California - Los Angeles (UCLA),Sociology,"$31,000",1.20,2021-2022,1st,,"$25,000","$6,000",,
Michigan Technological University (MTU),MEEM,"$39,400",1.94,2020-2021,5th,"$40,000",,,$600,
University of Nevada - Reno (UNR),Anthropology,"$11,275",0.54,2021-2022,2nd,,"$13,875",,"$2,600",
University of Houston (UH),Civil and Environmental Engineering,"$24,000",1.10,2020-2021,2nd,"$24,000",,,,
Arizona State University (ASU),mechanical engineering,"$19,172",0.86,2021-2022,1st,,"$19,172",,,
Ohio State University (OSU),planning,"$14,001",0.70,2021-2022,1st,"$14,001",,,,
University of California - San Francisco (UCSF),Biomedical sciences ,"$42,500",1.42,2021-2022,5th,"$42,500",,,,
Indiana University,Biology ,"$24,200",1.12,2020-2021,,"$25,000",,,$800,
Rice University,"Systems, Synthetic, and Physical Biology","$32,400",1.48,2020-2021,3rd,"$33,000",,,$600,Health insurance is not provided but there is a heavy discount. Tuition  is completely waived. 
University of Missouri (MU),Geological Sciences,"$20,800",1.01,2020-2021,5th,,"$20,000","$1,500",$700,
Texas A&amp;M; University - College Station,PhD in EEB,"$27,000",,2021-2022,4th,,"$27,000",,,
Cornell University (CU),Ecology and Evolutionary Biology ,"$34,605",1.43,2020-2021,6th and up,,"$29,500","$5,200",$95,
University of Texas Southwestern Medical Center - Dallas,Biomedical sciences,"$35,000",1.62,2021-2022,1st,"$35,000",,,,
University of California - San Diego (UCSD),Physics,"$26,000",0.98,2021-2022,1st,"$26,000",,,,
University of Virginia (UVA),Astronomy,"$26,000",1.14,2021-2022,1st,"$26,000",,,,
University at Albany - SUNY,Biology,"$26,800",1.18,2020-2021,1st,"$27,000",,,$200,
Washington State University (WSU),Viticulture and Enology,"$18,554",0.98,2020-2021,1st,"$19,554",,,"$1,000",
University of Miami (UM),Microbio,"$31,600",1.33,2020-2021,3rd,"$32,000",,,$400,
University of Nevada - Las Vegas (UNLV),School of life sciences,"$18,900",0.83,2020-2021,4th,"$18,900",,,,
University of Nevada - Las Vegas (UNLV),School of life sciences,"$18,900",0.83,2020-2021,5th,"$18,900",,,,
,School of life sciences,"$18,900",,2020-2021,5th,"$18,900",,,,
University of Nevada - Las Vegas (UNLV),School of life sciences,"$23,500",1.04,2020-2021,5th,"$23,500",,,,
University of Pennsylvania,Bioengineering,"$34,000",1.41,2020-2021,1st,"$34,000",,,,
,Economics,"$28,000",,2021-2022,1st,"$28,000",,,,
University of Wisconsin - Madison (UW),Economics,"$28,000",1.23,2021-2022,1st,"$28,000",,,,
,Education ,"$49,500",,2021-2022,1st,"$49,500",,,,
University of Wyoming (UW),Anthropology,"$11,830",0.57,2021-2022,1st,,"$12,330",,$500,
Georgia Institute of Technology (Georgia Tech),,"$32,000",1.37,2020-2021,,"$34,000",,,"$2,000",
Vanderbilt University,German,"$30,000",1.31,2020-2021,3rd,"$30,000",,,,
Vanderbilt University,German,"$29,850",1.30,2020-2021,1st,"$30,000",,,$150,
University of Pittsburgh,Graduate school of public health,"$25,470",1.23,2020-2021,2nd,"$25,500",,,$30,
Purdue University - West Lafayette,Physics,"$22,800",1.08,2021-2022,1st,,"$21,000","$3,000","$1,200","New student, hoping to get a decently paid RA soon."
Kent State University (KSU),Psychological Sciences,"$19,990",1.01,2021-2022,4th,"$20,000",,,$10,TA
American University (AU),Psychology,"$23,000",0.75,2020-2021,,,"$23,000",,,
Vanderbilt University,Teaching and Learning,"$28,240",1.23,2021-2022,5th,,"$26,500","$3,000","$1,260",
Tulane University (TU),economics,"$20,500",0.89,2020-2021,5th,,"$22,000",,"$1,500",
Vanderbilt University,Psychology and Student Development,"$30,740",1.34,2020-2021,4th,,"$26,500","$5,500","$1,260",
University of Washington (UW),Asian Languages and Literature,"$26,900",1.16,2021-2022,1st,"$26,900",,,,The required fees is per quarter.
Vanderbilt University,Psychology & Human Development,"$28,200",1.23,2020-2021,4th,,"$26,500","$3,000","$1,300","Can get more summer funding from advisor's grants, but it's capped below the 9-month amount. Student fees just doubled."
Vanderbilt University,12570 - Psychology,"$30,350",1.32,2020-2021,2nd,"$31,000",,,$650,
Vanderbilt University,"Teaching and Learning/Learning, Teaching & Diversity","$25,800",1.12,2020-2021,3rd,,"$26,500",,$700,
Indiana University,Informatics,"$20,360",0.94,2021-2022,2nd,,"$21,500",,"$1,140",Summer Funding is not guaranteed. Usually have to ask advisors for RA or finds Internship
Iowa State University (ISU),Materials Science and Engineering,"$25,200",1.19,2019-2020,1st,"$25,200",,,,Includes health insurance 
University of Texas - Austin (UT),,"$51,214",2.24,2020-2021,,"$57,880",,,"$6,666",
Loyola University Chicago (LUC),,"$39,445",1.63,2020-2021,1st,"$45,000",,,"$5,555",
Stanford University (SU),Chemistry,"$48,132",1.68,2021-2022,1st,"$48,132",,,,
University of North Texas (UNT),Biomedical Engineering,,0.00,2021-2022,1st,"$1,800",,,"$1,800",
,Biomedical Engineering,,,2021-2022,1st,"$1,800",,,"$1,800",
University of North Texas (UNT),Biomedical Engineering,,0.00,2021-2022,1st,"$1,800",,,"$1,800",
Texas A&amp;M; University - College Station,Chemical Engineering,"$27,800",,2020-2021,1st,"$27,800",,,,
Brandeis University,Neuroscience PhD,"$34,900",1.25,2020-2021,1st,"$35,000",,,$100,
University of Kansas (KU),Economics,"$19,350",0.95,2020-2021,5th,,"$20,000",,$650,"I am a domestic student. The required fees are higher for international students. Additionally, I am on a fellowship, so the stipend is a little higher than the typical GTA stipend in our department. "
American University (AU),Economics,"$23,000",0.75,2021-2022,1st,"$23,000",,,,
Columbia University (CU),Economics,"$41,000",1.38,2021-2022,2nd,"$41,140",,,$140,
Columbia University (CU),Economics,"$41,000",1.38,2020-2021,1st,"$41,140",,,$140,
Johns Hopkins University (JHU),Economics,"$29,000",1.13,2021-2022,3rd,"$31,000",,,"$2,000",Health insurance
University of Texas - Austin (UT),Economics,"$19,800",0.87,2020-2021,2nd,,"$20,000",,$200,
Princeton University,Economics,"$40,500",1.59,2020-2021,1st,"$40,500",,,,
University of Chicago (UC),Economics,"$48,000",1.98,2020-2021,1st,"$48,000",,,,32k university stipend + 11k department stipend. Ive also included a 5k student health insurance premium payment that the division provides. 
University of Technology Sydney,Business ,"$28,441",,2021-2022,1st,"$28,597",,,$156,
Cornell University (CU),economics,"$34,000",1.40,2021-2022,,,"$28,000","$6,000",,
Rice University,Economics,"$27,000",1.24,2020-2021,1st,,"$27,000",,,
New York University (NYU),Economics,"$28,500",0.96,2019-2020,6th and up,,"$28,500",,,
University of Utah,Economics,"$21,800",0.98,2020-2021,2nd,,"$16,200","$6,000",$400,Fees include subsidized health insurance and international student services fee.
University of New Mexico (UNM),Economics,"$12,100",0.58,2020-2021,4th,,"$12,600",,$500,"Health insurance and Tuition covered for 9 credit hours. Have to pay Grad Association Fee, IT Fee etc. which comes out to almost $500 a year."
Massachusetts Institute of Technology (MIT),Economics,"$35,816",1.28,2021-2022,1st,,"$36,000",,$184,
Georgia State University (GSU),Economics,"$21,000",0.90,2020-2021,2nd,"$24,000",,,"$3,000",
University of Virginia (UVA),Economics,"$20,000",0.88,2017-2018,5th,,"$20,000",,,
Purdue University - West Lafayette,Human Development & Family Studies,"$21,548",1.02,2020-2021,3rd,,"$17,600","$4,698",$750,
California Institute of Technology (Caltech),Social Decision Neuroscience,"$37,000",1.43,2020-2021,,"$37,000",,,,
University of Maryland - College Park (UMD),Economics,"$22,200",0.73,2019-2020,5th,,"$23,000",,$800,
Michigan State University (MSU),K-12 Education Administration ,"$30,500",1.49,2021-2022,1st,,"$25,000","$6,000",$500,
Stanford University (SU),GSB Economics,"$46,000",1.60,2020-2021,4th,"$46,000",,,,"Decreases to $32k for years 3-5, with option to TA/RA to make up difference. Base $32k applies even with zero TA/RAships. "
University of Tennessee - Knoxville,Economics,"$25,510",1.20,2021-2022,2nd,"$27,800",,,"$2,290",Pay includes a GRA stipend of $1900 per month and a $5000 annual scholarship. My stipend is my only source of income and Im not struggling. Fees are around $1100 per semester plus summer fees around $90. TA stipends are $18500 for nine months.
The Wharton school,Applied economics,"$39,000",,2020-2021,4th,"$39,000",,,,
University of Georgia (UGA),Agricultural and Applied Economics,"$19,300",0.91,2020-2021,1st,"$24,000",,,"$4,700",
New York University (NYU),Sociology,"$29,800",1.00,2020-2021,6th and up,"$29,800",,,,Also has a childcare stipend
University of Colorado - Boulder (UCB),Economics,"$25,800",1.01,2020-2021,2nd,,"$22,800","$4,000","$1,000",Summer pay is not guaranteed and in fact many students don't get it. Primarily domestic students who get work study and find an ra position with a professor get it - only a few teaching positions and international students are often not able to get funding.
University of Houston (UH),History,"$17,320",0.79,2020-2021,1st,,"$17,320",,,
Ohio University (OU),biomedicine,"$8,000",0.38,2021-2022,1st,,"$23,000",,"$15,000",
University of Chicago (UC),Computer Science,"$40,000",1.65,2020-2021,1st,"$40,000",,,,
Carnegie Mellon University (CMU),Chemical Engineering,"$32,000",1.55,2020-2021,1st,"$32,000",,,,
Ohio State University (OSU),Management and information systems phd,"$13,500",0.67,2020-2021,,"$15,000",,,"$1,500",
Washington University in St. Louis (Wash U),Neuroscience PhD,"$32,500",1.57,2020-2021,2nd,"$32,500",,,,
University of Missouri (MU),Division of Plant Sciences,"$6,000",0.29,2021-2022,1st,"$26,000",,,"$20,000",
University of California - Los Angeles (UCLA),History,"$30,000",1.16,2020-2021,1st,"$30,000",,,,
Colorado State University (CSU),Soil and Crop Sciences,"$26,600",1.18,2020-2021,1st,"$28,800",,,"$2,200",
National Institutes of Health (NIH),National Cancer Institute ,"$51,900",1.72,2020-2021,5th,"$51,900",,,,
Drexel University (DU),"Civil, Architectural and Environmental Engineering","$27,000",1.12,2021-2022,1st,"$27,000",,,,Covers health insurance 
University of Glasgow,MVLS,"$21,500",,2022-2023,1st,"$21,500",,,,
Southern Methodist University (SMU),Economics,"$20,000",0.93,2020-2021,,,"$20,000",,,10month stipend is 20000. Too LITTE. REJECTED IT. 
University of Texas Southwestern Medical Center - Dallas,Basic Biomedical Sciences Program,"$35,000",1.62,2021-2022,2nd,"$35,000",,,,Healthcare included
university Illinois at chicago,chemistry,"$27,000",,2020-2021,,"$27,000",,,,
,,"$27,000",,2020-2021,,"$27,000",,,,
Illinois State University (ISU),Mathematics,"$11,741",0.52,2020-2021,1st,"$14,220",,,"$2,479",Master's Graduate Assistant
Princeton University,Business ,"$24,000",0.94,2020-2021,1st,"$24,000",,,,
University of Texas Health Science Center - Houston,GSBS MDACC,"$32,000",1.46,2018-2019,,"$32,000",,,,"GSBS program, not part of heath science center, but no option for MDACC."
University of Texas - Dallas (UTD),Pschology,"$22,000",1.02,2020-2021,2nd,"$22,000",,,,health insurance is not included
University of Connecticut (UConn),public health,"$31,700",1.30,2020-2021,2nd,"$32,000",,,$300,
,Clinical Psychology,"$25,966",,2021-2022,2nd,"$28,270",,,"$2,304",
University of Miami (UM),Clinical Psychology,"$26,732",1.12,2021-2022,2nd,"$28,270",,,"$1,538",
University of Wisconsin - Madison (UW),Education,"$17,250",0.76,2020-2021,2nd,"$18,000",,,$750,
Indiana University,Environmental Science,"$22,400",1.04,2020-2021,3rd,"$24,000",,,"$1,600",Fees drop to $150 per semester once candidacy is achieved. I also have an RA position so I am not required to teach or TA classes
Vanderbilt University,Biomedical Engineering,"$32,000",1.39,2021-2022,5th,"$32,000",,,,
University of Maryland - College Park (UMD),Art History,"$32,000",1.06,2021-2022,1st,,"$20,000","$12,000",,
University of Kentucky (UK),Department of Plant and Soil Sciences,"$19,500",0.96,2020-2021,2nd,"$19,500",,,,
University of Southern California (USC),Molecular and Computational Biology,"$32,000",1.24,2020-2021,3rd,"$32,000",,,,"This has been the stipend for years now. If you get the same pay a year later, you are getting a pay cut. "
University of Colorado - Boulder (UCB),Chemistry,"$34,216",1.34,2020-2021,3rd,"$35,240",,,"$1,024",
University of Colorado - Boulder (UCB),Chemistry,"$31,721",1.24,2019-2020,2nd,"$33,582",,,"$1,861",
University of Delaware (UD),Economics ,"$24,000",0.95,2021-2022,1st,"$24,000",,,,
West Virginia University (WVU),Neuroscience,"$27,300",1.22,2021-2022,1st,,"$28,000",,$700,
,Pharmaceutical science ,"$-15,250",,2021-2022,1st,"$16,000",,,"$31,250",
,Pharmaceutical science ,"$-15,250",,2021-2022,1st,"$16,000",,,"$31,250",
North Dakota State University (NDSU),Pharmaceutical science ,"$-15,250",-0.80,2021-2022,1st,"$16,000",,,"$31,250",
,Biology,"$21,348",,2020-2021,1st,"$24,000",,,"$2,652",
University of Texas - Arlington (UTA),Biology,"$21,348",0.98,2020-2021,1st,"$24,000",,,"$2,652",
Northwestern University (NU),"Speech, Language, and Learning","$7,500",0.31,2020-2021,1st,"$7,500",,,,
University of Pittsburgh,Computer Engineering,"$30,375",1.47,2020-2021,1st,"$30,375",,,,
Georgia State University (GSU),Physics and Astronomy,"$24,500",1.05,2020-2021,5th,"$25,000",,,$500,
Massachusetts Institute of Technology (MIT),Math,"$43,200",1.55,2021-2022,3rd,"$43,200",,,,
Cornell University (CU),"Biochemistry, Molecular, and Cell Biology","$37,920",1.56,2020-2021,4th,"$38,000",,,$80,Health care included
University of Iowa (UI),Immunology,"$31,000",1.40,2021-2022,1st,"$31,000",,,,
University of Kentucky (UK),Political Science,"$17,257",0.85,2020-2021,2nd,,"$16,000","$1,500",$243,
Michigan State University (MSU),Molecular Plant Science ,"$31,500",1.54,2021-2022,1st,"$31,500",,,,
,CS,"$21,730",,2020-2021,,"$22,000",,,$270,RA
Oregon State University (OSU),CS,"$1,770",0.08,2020-2021,,"$1,800",,,$30,
,Materials Science and Engineering,"$34,800",,2020-2021,2nd,"$38,400",,,"$3,600",
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,"$34,800",1.49,2020-2021,2nd,"$38,400",,,"$3,600",
University of Iowa (UI),,"$30,500",1.37,2020-2021,5th,"$30,500",,,,
University of Southern California (USC),Biology,"$34,000",1.31,2020-2021,1st,"$34,000",,,,
University of Notre Dame (ND),Biological Sciences,"$40,000",1.95,2020-2021,1st,"$40,000",,,,
University of Southern California (USC),Political Science,"$34,000",1.31,2020-2021,3rd,"$34,000",,,,Enough to live and indulge in eating out once or twice a week and don't have to budget too striclty but it helps to have a roommate/partner you live with. 
University of California - Irvine (UCI),Earth Systems Science,"$35,600",1.22,2021-2022,1st,"$35,600",,,,
Yale University (YU),Molecular Biophysics & Biochemistry,"$41,550",1.68,2020-2021,2nd,"$41,550",,,,"Base stipend is $37,550 and Yale offers a $4000 yearly bonus if you have an external fellowship, even if the fellowship doesn't cover the entire base stipend"
Pennsylvania State University (Penn State),Materials Science and Engineering,"$29,724",1.32,2019-2020,4th,"$29,724",,,,
Washington State University (WSU),Psychology,"$14,900",0.79,2017-2018,4th,"$17,900",,,"$3,000",
North Carolina State University (NCSU),Materials,"$27,000",1.18,2019-2020,1st,"$30,000",,,"$3,000",Very estimated
University of Delaware (UD),Education ,"$21,000",0.83,2021-2022,,,"$21,000",,,
Cornell University (CU),Engineering,"$36,000",1.48,2020-2021,1st,"$36,000",,,,
,Physics,"$24,000",,2020-2021,6th and up,"$25,000",,,"$1,000",
University of Wisconsin - Madison (UW),Physics,"$24,000",1.05,2020-2021,6th and up,"$25,000",,,"$1,000",
Vanderbilt University,Biochemistry,"$32,500",1.42,2020-2021,4th,"$32,500",,,,
University of Massachusetts - Amherst (UMass),Chemical Engineering,"$29,000",1.26,2020-2021,1st,"$32,000",,,"$3,000",
Brown University,"Earth, Environmental, and Planetary Sciences","$41,000",1.80,2019-2020,1st,"$41,000",,,,
Massachusetts Institute of Technology (MIT),AeroAstro ,"$41,856",1.50,2020-2021,4th,"$41,856",,,,
University of Colorado - Denver (UCD),"Cell, Stem Cell, and Development","$34,000",1.52,2020-2021,2nd,"$34,000",,,,
Binghamton University - SUNY,History,"$20,766",1.00,2021-2022,1st,"$21,000",,,$234,
University of South Florida (UCF),Accounting ,"$25,500",1.16,2021-2022,2nd,"$27,000",,,"$1,500",(USF not UCF)
Charite Universitatsmedizin Berlin,Neuroscience,"$2,500",,2020-2021,2nd,"$2,500",,,,
University of South Florida (UCF),Ppibs,"$25,900",1.18,2020-2021,1st,"$28,000",,,"$2,100",We buy health insurance
Colorado School of Mines,Chemistry,"$26,000",1.16,2020-2021,3rd,"$26,000",,,,
Texas A&amp;M; University - College Station,Statistics,"$22,000",,2021-2022,1st,,"$22,000",,,
University of Hawaii - Manoa (UH),School of Life Sciences,"$21,240",0.70,2020-2021,4th,"$22,140",,,$900,
University of Illinois - Urbana- Champaign (UIUC),History ,"$24,500",1.11,2020-2021,1st,,"$25,000",,$500,
Cornell University (CU),mechanical ,"$9,912",0.41,2020-2021,1st,"$12,223",,,"$2,311",
