University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Medical College of Wisconsin,Public & Community Health,"$36,355",1.69,2025-2026,1st,"$36,355",,,,
Ohio State University (OSU),Political science,"$34,000",1.69,2025-2026,1st,"$34,000",,,,
University of Minnesota - Twin Cities (UM),Biostatistics,"$33,000",1.44,2025-2026,1st,"$33,000",,,,
University of Washington (UW),Computer Science and Engineering,"$34,695",1.49,2025-2026,5th,,"$34,695",,,
University of California - Riverside (UCR),Statistics,"$36,000",1.49,2025-2026,1st,,"$36,000",,,
Florida International University (FIU),Mechanical and Materials Engineering,"$26,670",1.12,2025-2026,1st,"$27,510",,,$840,
Ohio University (OU),Clinical Psychology,"$25,200",1.20,2025-2026,1st,,"$21,000","$4,200",,"Uncertain about the required fees. $21,000 for 9 months and $4,200 summer funding"
Indiana University- Purdue University - Indianapolis (IUPUI),biomedical science,"$37,000",1.79,2025-2026,1st,"$37,000",,,,
University of Maryland - College Park (UMD),Govenment and Politic ,"$33,594",1.11,2025-2026,1st,,"$28,594","$5,000",,
University of Southern Denmark,Health Economics,"$84,000",,2022-2023,3rd,"$84,000",,,,"38% tax rate, no tuition fees, healthcare covered"
,Pharmaceutical sciences ,"$21,500",,2025-2026,3rd,"$25,000",,,"$3,500",
Kansas State University (K-State),Diagnostic Medicine/Pathobiology,"$25,000",1.13,2025-2026,1st,"$25,000",,,,Have to pay insurance fee and some miscellaneous college fee. 
JUNTENDO UNIVERSITY,HEALTH DATA SCIENCE,"$15,000",,2024-2025,2nd,"$20,000",,,"$5,000",
Johns Hopkins University (JHU),Physics and Astronomy,"$50,000",1.94,2025-2026,6th and up,"$50,000",,,,
Keio University,,"$12,000",,2025-2026,2nd,"$17,333",,,"$5,333",
Indiana University,Economics,"$24,000",1.11,2025-2026,5th,"$24,000",,,,
Stony Brook University - SUNY,Psychology,"$31,550",1.13,2025-2026,1st,,"$30,000","$3,000","$1,450","$30,000 for 10 months. Summer is $3000+ for two months. Subsidized health insurance coverage 90%.
"
University of Notre Dame (ND),Sociology,,0.00,2025-2026,2nd,"$38,000",,,"$38,000",I need a scholarship for fieldwork and to complete my thesis.
Dartmouth College,Psychological & Brain Sciences,"$48,410",1.95,2025-2026,,"$48,410",,,,Increases annually w/ COL
University of Florida (UF),School of Natural Resources and Environment ,"$26,000",1.14,2025-2026,1st,"$28,000",,,"$2,000",
Princeton University,Chemical and Biological Engineering,"$63,000",2.48,2025-2026,1st,"$63,000",,,,
Northeastern University (NU),Civil and Environmental Engineering,"$42,300",1.48,2024-2025,2nd,"$43,000",,,$700,
University of Idaho (UI),Mathematics,,0.00,2024-2025,1st,,,,,
University of Idaho (UI),Mathematics,,0.00,2025-2026,1st,,,,,
Duke University (DU),English,"$42,000",1.89,2025-2026,1st,"$42,000",,,,
University of California - Berkeley,Rhetoric ,"$36,000",1.30,2025-2026,1st,"$36,000",,,,
Northwestern University (NU),Clinical Psychology (Chicago campus),"$46,356",1.91,2025-2026,3rd,"$46,356",,,,
University of California - Berkeley,East Asian Language and Cultures,"$46,000",1.66,2025-2026,,"$46,000",,,,"5-year package, first year + $1500 relocation stipend"
University of Michigan - Ann Arbor (UM),mechanical engineering,"$43,000",1.86,2025-2026,1st,"$43,000",,,,
University of Florida (UF),Chemical Engineering ,"$35,000",1.54,2025-2026,1st,"$35,000",,,,This is for fall 2026 offer i got 
Georgetown University,Linguistics,"$1,796",0.06,2025-2026,2nd,,"$1,796",,,
University of Pennsylvania,The Annenberg School for Communication,"$44,075",1.83,2025-2026,1st,"$44,075",,,,
University of California - Berkeley,History ,"$-2,500",-0.09,2022-2023,2nd,"$1,000",,,"$3,500",
Texas A&amp;M; University - College Station,Chemistry ,"$2,450",,2025-2026,1st,"$2,450",,,,
Stanford University (SU),Materials Science and Engineering,"$58,460",2.04,2025-2026,1st,"$58,460",,,,
Rutgers the State University of New Jersey - New Brunswick,"Communication, Information, and Media","$40,000",1.55,2025-2026,1st,"$40,000",,,,
Indiana University,Information Science,"$24,500",1.14,2025-2026,4th,,"$26,780",,"$2,280","Ten-month stipend before tax, with tuition fee remission"
Howard University (HU),school of divinity,"$20,000",0.65,2025-2026,1st,,"$20,000",,,
North Carolina A&amp;T; State University (NC A&amp;T),Education,"$20,000",,2025-2026,1st,,"$20,000",,,
University of Notre Dame (ND),Sociology,"$38,000",1.86,2025-2026,3rd,"$38,000",,,,
University of Tennessee - Knoxville,Comm,"$27,000",1.27,2025-2026,1st,"$27,000",,,,
Rice University,ECE,"$39,250",1.80,2025-2026,1st,"$40,000",,,$750,
University of Minnesota - Twin Cities (UM),Conservation Sciences,"$22,400",0.98,2025-2026,2nd,"$25,000",,,"$2,600",
University of Pennsylvania,Neuroscience Graduate Group,"$42,750",1.77,2025-2026,1st,"$42,750",,,,
